NOMBRE,NUMERO
ASIENTOS,1
CALVILLO,1
COSIO,1
JESUS MARIA,1
PABELLON DE ARTEAGA,1
RINCON DE ROMOS,1
SAN JOSE DE GRACIA,1
TEPEZALA,1
EL LLANO,1
SAN FRANCISCO DE LOS ROMO,1
ENSENADA,2
MEXICALI,2
TECATE,2
TIJUANA,2
PLAYAS DE ROSARITO,2
COMONDU,3
MULEGE,3
LA PAZ,3
LOS CABOS,3
LORETO,3
CALKINI,4
CAMPECHE,4
CARMEN,4
CHAMPOTON,4
HECELCHAKAN,4
HOPELCHEN,4
PALIZADA,4
TENABO,4
ESCARCEGA,4
CALAKMUL,4
CANDELARIA,4
ACACOYAGUA,5
ACALA,5
ACAPETAHUA,5
ALTAMIRANO,5
AMATAN,5
AMATENANGO DE LA FRONTERA,5
AMATENANGO DEL VALLE,5
ANGEL ALBINO CORZO,5
ARRIAGA,5
BEJUCAL DE OCAMPO,5
BELLA VISTA,5
BERRIOZABAL,5
BOCHIL,5
EL BOSQUE,5
CACAHOATAN,5
CATAZAJA,5
CINTALAPA,5
COAPILLA,5
COMITAN DE DOMINGUEZ,5
LA CONCORDIA,5
COPAINALA,5
CHALCHIHUITAN,5
CHAMULA,5
CHANAL,5
CHAPULTENANGO,5
CHENALHO,5
CHIAPA DE CORZO,5
CHIAPILLA,5
CHICOASEN,5
CHICOMUSELO,5
CHILON,5
ESCUINTLA,5
FRANCISCO LEON,5
FRONTERA COMALAPA,5
FRONTERA HIDALGO,5
LA GRANDEZA,5
HUEHUETAN,5
HUIXTAN,5
HUITIUPAN,5
HUIXTLA,5
LA INDEPENDENCIA,5
IXHUATAN,5
IXTACOMITAN,5
IXTAPA,5
IXTAPANGAJOYA,5
JIQUIPILAS,5
JITOTOL,5
JUAREZ,5
LARRAINZAR,5
LA LIBERTAD,5
MAPASTEPEC,5
LAS MARGARITAS,5
MAZAPA DE MADERO,5
MAZATAN,5
METAPA,5
MITONTIC,5
MOTOZINTLA,5
NICOLAS RUIZ,5
OCOSINGO,5
OCOTEPEC,5
OCOZOCOAUTLA DE ESPINOSA,5
OSTUACAN,5
OSUMACINTA,5
OXCHUC,5
PALENQUE,5
PANTELHO,5
PANTEPEC,5
PICHUCALCO,5
PIJIJIAPAN,5
EL PORVENIR,5
VILLA COMALTITLAN,5
PUEBLO NUEVO SOLISTAHUACAN,5
RAYON,5
REFORMA,5
LAS ROSAS,5
SABANILLA,5
SALTO DE AGUA,5
SAN CRISTOBAL DE LAS CASAS,5
SAN FERNANDO,5
SILTEPEC,5
SIMOJOVEL,5
SITALA,5
SOCOLTENANGO,5
SOLOSUCHIAPA,5
SOYALO,5
SUCHIAPA,5
SUCHIATE,5
SUNUAPA,5
TAPACHULA,5
TAPALAPA,5
TAPILULA,5
TECPATAN,5
TENEJAPA,5
TEOPISCA,5
TILA,5
TONALA,5
TOTOLAPA,5
LA TRINITARIA,5
TUMBALA,5
TUXTLA GUTIERREZ,5
TUXTLA CHICO,5
TUZANTAN,5
TZIMOL,5
UNION JUAREZ,5
VENUSTIANO CARRANZA,5
VILLA CORZO,5
VILLAFLORES,5
YAJALON,5
SAN LUCAS,5
ZINACANTAN,5
SAN JUAN CANCUC,5
ALDAMA,5
BENEMERITO DE LAS AMERICAS,5
MARAVILLA TENEJAPA,5
MARQUES DE COMILLAS,5
MONTECRISTO DE GUERRERO,5
SAN ANDRES DURAZNAL,5
SANTIAGO EL PINAR,5
AHUMADA,6
ALDAMA,6
ALLENDE,6
AQUILES SERDAN,6
ASCENSION,6
BACHINIVA,6
BALLEZA,6
BATOPILAS,6
BOCOYNA,6
BUENAVENTURA,6
CAMARGO,6
CARICHI,6
CASAS GRANDES,6
CORONADO,6
COYAME DEL SOTOL,6
LA CRUZ,6
CUAUHTEMOC,6
CUSIHUIRIACHI,6
CHIHUAHUA,6
CHINIPAS,6
DELICIAS,6
DR. BELISARIO DOMINGUEZ,6
GALEANA,6
SANTA ISABEL,6
GOMEZ FARIAS,6
GRAN MORELOS,6
GUACHOCHI,6
GUADALUPE,6
GUADALUPE Y CALVO,6
GUAZAPARES,6
GUERRERO,6
HIDALGO DEL PARRAL,6
HUEJOTITAN,6
IGNACIO ZARAGOZA,6
JANOS,6
JIMENEZ,6
JUAREZ,6
JULIMES,6
LOPEZ,6
MADERA,6
MAGUARICHI,6
MANUEL BENAVIDES,6
MATACHI,6
MATAMOROS,6
MEOQUI,6
MORELOS,6
MORIS,6
NAMIQUIPA,6
NONOAVA,6
NUEVO CASAS GRANDES,6
OCAMPO,6
OJINAGA,6
PRAXEDIS G. GUERRERO,6
RIVA PALACIO,6
ROSALES,6
ROSARIO,6
SAN FRANCISCO DE BORJA,6
SAN FRANCISCO DE CONCHOS,6
SAN FRANCISCO DEL ORO,6
SANTA BARBARA,6
SATEVO,6
SAUCILLO,6
TEMOSACHIC,6
EL TULE,6
URIQUE,6
URUACHI,6
VALLE DE ZARAGOZA,6
